City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Hobyo,SO,79.12,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
262,Kaohsiung,TW,76.03,overcast clouds,22.6163,120.3133,御宿商旅-中山館
265,Itacarambi,BR,86.97,few clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
277,Hambantota,LK,79.14,clear sky,6.1241,81.1185,Bungalow 63
281,Jieshi,CN,77.22,few clouds,22.8134,115.8257,Yuehai Hotel
289,Bridgetown,BB,86.49,broken clouds,13.1,-59.6167,Hilton Barbados Resort
292,Umm Lajj,SA,84.06,clear sky,25.0213,37.2685,Moon light Furnished Units
294,Sur,OM,84.2,clear sky,22.5667,59.5289,Sur Plaza Hotel
297,Salalah,OM,83.32,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
302,Minbu,MM,84.38,moderate rain,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
304,Fonte Boa,BR,87.75,overcast clouds,-2.4959,-66.2662,
308,Arkadelphia,US,82.58,broken clouds,34.1209,-93.0538,COLLEGE INN MOTEL
311,Thongwa,MM,82.56,overcast clouds,16.7619,96.5278,U Poe Sann
312,Basco,PH,83.44,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
319,Ambon,ID,80.24,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
322,Merrill,US,85.42,clear sky,45.1805,-89.6835,Prairie Motel
325,Itoman,JP,75.58,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
328,Salina Cruz,MX,89.69,broken clouds,16.1667,-95.2,Amerik HOTEL
331,Wang Saphung,TH,78.58,light rain,17.301,101.7685,โรงแรมวังรีสอร์ท
332,Moissala,TD,79.11,scattered clouds,8.3404,17.7663,
336,Pointe Michel,DM,79.14,overcast clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
339,Iquitos,PE,82.09,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
348,Kampot,KH,81.43,overcast clouds,10.6167,104.1833,Two Moons Hotel
350,Gandajika,CD,78.3,overcast clouds,-6.75,23.95,
353,Dabakala,CI,83.95,overcast clouds,8.3667,-4.4333,Hôtel Campement
354,Alta Floresta,BR,89.44,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
